"PRENOM";"NOM";"EMAIL";"TELEPHONE";"DATE_NAISSANCE";"ADRESSE";"CODE_POSTAL";"VILLE";"DIPLOME";"ANNEES_EXPERIENCE";"POSTE_VISE";"SALAIRE_SOUHAITE";"DATE_CANDIDATURE";"STATUT"
"Marc";"Faure";"marcfaure@outlook.fr";"+33 6 79 91 75 24";"1989-12-21";"72 Avenue de la Liberté";"13008";"Marseille";"CAP/BEP";"7";"Product Owner";"69914.12";"2025-10-22";"EN_COURS"
"Georges";"Rey";"georgesrey@protonmail.com";"+33 6 23 54 94 52";"1984-01-16";"142 Chemin du Moulin";"06000";"Nice";"Bac+8 (Doctorat)";"12";"Scrum Master";"45224.93";"2025-02-20";"ENTRETIEN"
"Dominique";"Bertrand";"dominique.bertrand@protonmail.com";"+33 6 59 24 35 60";"1999-10-30";"60 Impasse des Lilas";"51100";"Reims";"Bac+5 (Master/Ingénieur)";"21";"Data Engineer";"60788.82";"2025-08-26";"EMBAUCHE"
"Joël";"Perrin";"joel.perrin@protonmail.com";"+33 6 29 85 56 49";"1994-04-11";"8 Avenue Jean Jaurès";"06400";"Cannes";"CAP/BEP";"10";"Analyste Données";"72406.37";"2025-07-17";"EN_COURS"
"Marcel";"Pons";"marcel-pons@outlook.fr";"+33 6 12 11 60 27";"1986-12-19";"108 Rue du Faubourg Saint-Honoré";"76000";"Rouen";"MBA";"1";"Scrum Master";"80921.27";"2026-02-02";"EN_COURS"
"Océane";"Robert";"oceane-robert@hotmail.fr";"+33 6 86 75 84 77";"1980-12-22";"41 Boulevard Gambetta";"69100";"Villeurbanne";"Bac+8 (Doctorat)";"15";"Analyste Données";"40438.09";"2025-04-12";"REFUSE"
"Hélène";"Perrin";"heleneperrin@protonmail.com";"+33 6 17 49 83 93";"1988-05-08";"42 Rue Nationale";"78000";"Versailles";"Bac+3 (Licence)";"11";"Juriste";"46341.24";"2025-10-13";"EN_COURS"
"Claude";"Morin";"claudemorin@outlook.fr";"+33 6 52 37 18 34";"2002-11-29";"92 Boulevard de la Marne";"33000";"Bordeaux";"Bac+3 (Licence)";"2";"Analyste Données";"69224.34";"2025-06-20";"REFUSE"
"Sophie";"Arnaud";"sophie.arnaud@yahoo.fr";"+33 6 18 87 33 90";"1987-10-21";"21 Rue Jean Moulin";"31000";"Toulouse";"Bac Pro";"14";"Commercial";"67194.84";"2025-05-07";"EN_COURS"
"Zoé";"Lefèvre";"zoelefevre@hotmail.fr";"+33 6 57 48 33 51";"1983-02-27";"109 Place du Marché";"84000";"Avignon";"Bac+8 (Doctorat)";"0";"Chargé de Communication";"34688.14";"2025-12-18";"EMBAUCHE"
"Alice";"Leclerc";"alice.leclerc@gmail.com";"+33 6 64 10 78 24";"2005-05-25";"77 Allée des Tilleuls";"57000";"Metz";"Bac+5 (Master/Ingénieur)";"5";"Architecte Cloud";"45345.52";"2025-10-07";"EMBAUCHE"
"Martine";"Adam";"martine.adam@yahoo.fr";"+33 6 77 56 51 24";"2002-01-29";"138 Rue Pierre Curie";"75020";"Paris";"Bac+2 (BTS/DUT)";"6";"Développeur Full-Stack";"50867.65";"2025-03-01";"ENTRETIEN"
"Sandrine";"Durand";"sandrine-durand@yahoo.fr";"+33 6 78 69 17 41";"1978-02-09";"27 Avenue Victor Hugo";"80000";"Amiens";"MBA";"3";"Data Engineer";"79829.29";"2025-10-27";"ENTRETIEN"
"Charles";"Moreau";"charles.moreau@gmail.com";"+33 6 35 63 59 65";"2005-10-25";"54 Rue de Rivoli";"29200";"Brest";"Bac Pro";"22";"Juriste";"54918.61";"2025-09-26";"OFFRE"
"Laetitia";"Blanc";"laetitia-blanc@yahoo.fr";"+33 6 17 60 83 91";"1991-01-03";"146 Avenue de Verdun";"38000";"Grenoble";"Bac+2 (BTS/DUT)";"10";"Consultant BI";"70923.01";"2025-05-17";"EN_COURS"
"Sylvie";"Perrot";"sylvie.perrot@gmail.com";"+33 6 58 91 23 53";"1997-05-18";"101 Place de la Bastille";"93100";"Montreuil";"Bac+5 (Master/Ingénieur)";"24";"Chef de Projet";"71533.4";"2025-07-15";"EN_COURS"
"André";"Garnier";"andre.garnier@gmail.com";"+33 6 49 96 54 93";"1998-07-29";"135 Rue Victor Hugo";"75015";"Paris";"Bac+3 (Licence)";"6";"Architecte Cloud";"28189.7";"2025-11-13";"ENTRETIEN"
"François";"Laurent";"francoislaurent@yahoo.fr";"+33 6 61 35 98 75";"1987-10-03";"105 Rue des Écoles";"57000";"Metz";"Bac+5 (Master/Ingénieur)";"8";"Analyste Données";"31756.73";"2026-02-01";"EMBAUCHE"
"Rémi";"Leroy";"remi.leroy@hotmail.fr";"+33 6 58 28 28 90";"2001-03-30";"139 Avenue Foch";"57000";"Metz";"Bac+5 (Master/Ingénieur)";"4";"Responsable RH";"71633.74";"2026-01-11";"EN_COURS"
"Pierre";"Martin";"pierremartin@outlook.fr";"+33 6 83 12 30 89";"2001-02-19";"80 Rue de Rivoli";"21000";"Dijon";"Bac+5 (Master/Ingénieur)";"19";"Analyste Données";"67913.79";"2025-09-17";"EN_COURS"
"Claude";"Vincent";"claude.vincent@gmail.com";"+33 6 52 85 73 11";"2002-05-18";"67 Allée des Tilleuls";"34000";"Montpellier";"Bac+5 (Master/Ingénieur)";"4";"Juriste";"78771.49";"2025-07-23";"EN_COURS"
"Étienne";"Nguyen";"etienne.nguyen@hotmail.fr";"+33 6 32 99 31 86";"2000-09-16";"27 Boulevard Saint-Germain";"37000";"Tours";"Bac+3 (Licence)";"23";"Consultant BI";"30993.41";"2025-11-03";"EMBAUCHE"
"Jacqueline";"Nicolas";"jacquelinenicolas@gmail.com";"+33 6 34 45 39 58";"1983-04-27";"139 Rue du Commerce";"93100";"Montreuil";"Bac Pro";"3";"Analyste Données";"59369.33";"2025-04-21";"EN_COURS"
"Andrée";"Masson";"andree.masson@protonmail.com";"+33 6 12 13 91 87";"2004-06-28";"131 Allée des Tilleuls";"35000";"Rennes";"Bac+8 (Doctorat)";"10";"Comptable";"46884.97";"2026-02-17";"REFUSE"
"Thérèse";"Simon";"therese-simon@outlook.fr";"+33 6 33 81 26 39";"1997-07-25";"70 Rue de la République";"42000";"Saint-Étienne";"MBA";"0";"Juriste";"42314.19";"2025-02-16";"ENTRETIEN"
"Patricia";"Noel";"patricia-noel@gmail.com";"+33 6 20 34 87 55";"1993-06-07";"75 Avenue Foch";"69001";"Lyon";"MBA";"3";"Commercial";"52238.45";"2025-03-02";"OFFRE"
"René";"Fournier";"rene-fournier@protonmail.com";"+33 6 28 50 62 92";"2002-03-10";"102 Rue Émile Zola";"54000";"Nancy";"Bac+3 (Licence)";"7";"Commercial";"35670.28";"2025-07-26";"REFUSE"
"Florence";"Fontaine";"florence.fontaine@gmail.com";"+33 6 69 71 28 70";"1988-06-14";"2 Rue Nationale";"84000";"Avignon";"Bac+5 (Master/Ingénieur)";"11";"Product Owner";"28636.16";"2025-09-20";"EN_COURS"
"Paul";"Bernard";"paul-bernard@outlook.fr";"+33 6 49 62 86 44";"1996-07-24";"116 Rue Lafayette";"75020";"Paris";"Bac Pro";"16";"Chargé de Communication";"65192.63";"2025-03-31";"EN_COURS"
"Alice";"Colin";"alice.colin@gmail.com";"+33 6 69 75 74 76";"1978-06-28";"18 Impasse des Lilas";"75001";"Paris";"Bac+3 (Licence)";"4";"DevOps";"78237.51";"2025-10-17";"ENTRETIEN"
"Didier";"Girard";"didier-girard@protonmail.com";"+33 6 48 28 13 57";"1998-06-12";"52 Avenue des Champs-Élysées";"75008";"Paris";"Bac+8 (Doctorat)";"23";"Architecte Cloud";"78221.18";"2025-02-22";"REFUSE"
"Denise";"Navarro";"denise.navarro@outlook.fr";"+33 6 95 46 74 12";"1977-01-17";"144 Rue Victor Hugo";"64100";"Bayonne";"Bac+2 (BTS/DUT)";"2";"Chef de Projet";"84518.63";"2026-02-14";"EN_COURS"
"Lucie";"Henry";"lucie-henry@hotmail.fr";"+33 6 26 25 45 32";"1991-02-16";"138 Boulevard Saint-Germain";"51100";"Reims";"Bac+8 (Doctorat)";"3";"Scrum Master";"72555.43";"2025-10-12";"EN_COURS"
"Eva";"Masson";"eva.masson@protonmail.com";"+33 6 31 82 64 30";"1990-03-29";"77 Rue Victor Hugo";"76000";"Rouen";"Bac+8 (Doctorat)";"20";"Développeur Full-Stack";"55421.8";"2025-03-21";"EN_COURS"
"Stéphanie";"Fleury";"stephaniefleury@protonmail.com";"+33 6 85 56 89 17";"1990-06-13";"12 Place de la Bastille";"59000";"Lille";"Bac+5 (Master/Ingénieur)";"25";"Chef de Projet";"71865.99";"2025-02-14";"OFFRE"
"Mireille";"Durand";"mireille.durand@hotmail.fr";"+33 6 92 89 56 89";"2003-12-21";"1 Rue Jean Moulin";"87000";"Limoges";"Bac+2 (BTS/DUT)";"19";"Ingénieur Machine Learning";"81154.66";"2025-02-01";"ENTRETIEN"
"Marc";"Lemaître";"marc.lemaitre@hotmail.fr";"+33 6 51 24 13 84";"2005-11-23";"52 Allée des Tilleuls";"14000";"Caen";"Bac+3 (Licence)";"2";"Scrum Master";"51789.93";"2025-09-20";"REFUSE"
"Marion";"Leroy";"marionleroy@yahoo.fr";"+33 6 59 89 41 60";"1989-05-04";"100 Rue de la République";"06400";"Cannes";"Bac Pro";"2";"Comptable";"59189.48";"2025-01-26";"EN_COURS"
"Jérôme";"Caron";"jerome-caron@gmail.com";"+33 6 39 90 30 22";"1982-12-09";"91 Rue du Faubourg Saint-Honoré";"14000";"Caen";"Bac+5 (Master/Ingénieur)";"20";"Responsable RH";"31650.01";"2025-09-08";"REFUSE"
"Agathe";"Masson";"agathe-masson@gmail.com";"+33 6 97 21 68 72";"1992-03-11";"94 Rue Victor Hugo";"76600";"Le Havre";"MBA";"0";"Ingénieur Machine Learning";"64324.05";"2025-07-05";"EMBAUCHE"
"Mélanie";"Lacroix";"melanielacroix@hotmail.fr";"+33 6 13 47 72 73";"1980-07-15";"15 Boulevard Haussmann";"75020";"Paris";"MBA";"20";"Chef de Projet";"59923.05";"2025-12-22";"ENTRETIEN"
"Clémence";"Brunet";"clemencebrunet@gmail.com";"+33 6 21 41 89 33";"2003-05-05";"125 Avenue des Champs-Élysées";"69003";"Lyon";"CAP/BEP";"10";"Product Owner";"76081.4";"2025-07-19";"ENTRETIEN"
"Véronique";"Rousseau";"veroniquerousseau@hotmail.fr";"+33 6 68 95 82 35";"1983-05-08";"36 Boulevard Voltaire";"14000";"Caen";"Bac Pro";"8";"Scrum Master";"33266.06";"2025-12-08";"EN_COURS"
"Nicole";"Moulin";"nicolemoulin@yahoo.fr";"+33 6 45 90 17 90";"1976-07-19";"90 Place du Marché";"75008";"Paris";"Bac+5 (Master/Ingénieur)";"10";"Chef de Projet";"29579.6";"2025-03-10";"REFUSE"
"Aurélie";"Simon";"aureliesimon@hotmail.fr";"+33 6 62 54 24 81";"1979-08-06";"66 Rue de la Paix";"14000";"Caen";"Bac+3 (Licence)";"12";"Comptable";"78373.58";"2026-01-09";"EN_COURS"
"Gilles";"Collet";"gilles-collet@gmail.com";"+33 6 74 72 81 91";"1996-06-14";"48 Boulevard Voltaire";"33000";"Bordeaux";"Bac+3 (Licence)";"3";"Développeur Full-Stack";"29320.58";"2025-12-10";"REFUSE"
"Morgane";"Philippe";"morgane-philippe@yahoo.fr";"+33 6 26 82 25 52";"1989-08-01";"83 Allée des Tilleuls";"69001";"Lyon";"Bac+3 (Licence)";"3";"Product Owner";"58161.85";"2025-04-10";"ENTRETIEN"
"Olivier";"Delmas";"olivierdelmas@gmail.com";"+33 6 20 91 69 28";"1988-05-13";"124 Rue du Commerce";"75008";"Paris";"Bac+2 (BTS/DUT)";"4";"Analyste Données";"35339.09";"2025-01-26";"ENTRETIEN"
"Gabriel";"Masson";"gabrielmasson@protonmail.com";"+33 6 27 93 17 70";"1999-04-18";"146 Rue de la Gare";"87000";"Limoges";"CAP/BEP";"18";"Analyste Données";"60578.58";"2025-11-11";"EN_COURS"
"Gérard";"Navarro";"gerardnavarro@protonmail.com";"+33 6 76 83 32 59";"1987-03-14";"148 Rue de la République";"34000";"Montpellier";"MBA";"24";"Juriste";"83649.75";"2025-07-15";"ENTRETIEN"
"Jérôme";"Boulanger";"jerome-boulanger@hotmail.fr";"+33 6 62 14 13 31";"1998-03-14";"88 Rue Victor Hugo";"14000";"Caen";"CAP/BEP";"15";"Développeur Full-Stack";"40723.11";"2025-10-30";"REFUSE"
"Léo";"Rolland";"leo.rolland@yahoo.fr";"+33 6 44 25 70 59";"2003-07-27";"134 Rue Pasteur";"87000";"Limoges";"Bac+8 (Doctorat)";"15";"Product Owner";"62718.21";"2025-08-03";"REFUSE"
"Rémi";"Dumont";"remi.dumont@outlook.fr";"+33 6 85 77 49 58";"1995-03-31";"126 Avenue de la Liberté";"76600";"Le Havre";"Bac+8 (Doctorat)";"8";"Data Engineer";"47769.66";"2025-06-03";"REFUSE"
"Julie";"Dufour";"julie-dufour@outlook.fr";"+33 6 97 48 25 88";"2004-08-07";"46 Rue des Écoles";"13008";"Marseille";"Bac+2 (BTS/DUT)";"5";"Product Owner";"31780.31";"2025-04-13";"REFUSE"
"Florence";"Hamon";"florence-hamon@gmail.com";"+33 6 43 74 17 18";"1991-03-03";"118 Boulevard Saint-Germain";"30000";"Nîmes";"Bac+2 (BTS/DUT)";"11";"DevOps";"45922.36";"2025-03-29";"ENTRETIEN"
"Sylvain";"Roux";"sylvainroux@hotmail.fr";"+33 6 80 12 69 57";"2004-08-17";"14 Avenue Foch";"93200";"Saint-Denis";"Bac+8 (Doctorat)";"14";"Développeur Full-Stack";"57235.64";"2025-04-16";"REFUSE"
"Dominique";"Lemaître";"dominique.lemaitre@hotmail.fr";"+33 6 35 77 26 74";"1984-07-22";"21 Allée des Tilleuls";"66000";"Perpignan";"Bac+8 (Doctorat)";"4";"Chef de Projet";"81644.9";"2025-06-23";"EMBAUCHE"
"Nathan";"Lefebvre";"nathan-lefebvre@outlook.fr";"+33 6 86 87 31 74";"1983-11-06";"7 Rue de la Paix";"69001";"Lyon";"Bac+3 (Licence)";"6";"Chargé de Communication";"72881.98";"2026-02-05";"ENTRETIEN"
"Françoise";"Blanc";"francoise.blanc@outlook.fr";"+33 6 36 47 55 98";"1989-07-31";"105 Avenue Victor Hugo";"13001";"Marseille";"Bac Pro";"16";"Chargé de Communication";"56769.45";"2025-05-05";"EN_COURS"
"Brigitte";"Richard";"brigitte-richard@yahoo.fr";"+33 6 51 43 98 88";"1981-09-29";"30 Boulevard Haussmann";"13001";"Marseille";"MBA";"17";"Développeur Full-Stack";"63080.21";"2025-02-16";"ENTRETIEN"
"Aurélien";"Lemaître";"aurelienlemaitre@protonmail.com";"+33 6 87 23 25 29";"1983-05-31";"77 Rue Pasteur";"69003";"Lyon";"Bac+2 (BTS/DUT)";"8";"Chef de Projet";"59450.61";"2025-06-01";"EMBAUCHE"
"Marcel";"Clément";"marcel.clement@yahoo.fr";"+33 6 97 35 35 53";"1978-09-28";"150 Avenue des Champs-Élysées";"29200";"Brest";"Bac+2 (BTS/DUT)";"14";"Développeur Full-Stack";"46715.03";"2025-04-15";"EN_COURS"
"Patricia";"Noel";"patricia-noel@hotmail.fr";"+33 6 20 80 63 84";"1983-01-11";"138 Rue Jean Moulin";"13100";"Aix-en-Provence";"Bac+3 (Licence)";"1";"Data Engineer";"53335.82";"2025-08-05";"EN_COURS"
"Loïc";"Carlier";"loiccarlier@yahoo.fr";"+33 6 89 28 71 96";"1992-06-08";"63 Rue Pasteur";"30000";"Nîmes";"Bac Pro";"11";"Commercial";"64815.12";"2025-11-13";"REFUSE"
"Guillaume";"Leclerc";"guillaumeleclerc@gmail.com";"+33 6 61 87 28 81";"2005-05-16";"31 Avenue de la Liberté";"83000";"Toulon";"Bac Pro";"20";"Architecte Cloud";"59685.6";"2025-12-11";"REFUSE"
"Alain";"Legrand";"alain-legrand@outlook.fr";"+33 6 16 13 37 66";"1988-12-27";"11 Avenue des Champs-Élysées";"63000";"Clermont-Ferrand";"Bac+3 (Licence)";"16";"Chargé de Communication";"45865.62";"2025-01-31";"EN_COURS"
"Lina";"Lecomte";"lina.lecomte@gmail.com";"+33 6 63 76 93 89";"1984-01-30";"20 Avenue de la Liberté";"67000";"Strasbourg";"Bac+3 (Licence)";"13";"Ingénieur Machine Learning";"75537.73";"2025-03-18";"EN_COURS"
"Bernard";"Carlier";"bernardcarlier@gmail.com";"+33 6 13 89 47 55";"1980-04-28";"91 Allée des Tilleuls";"80000";"Amiens";"Bac+2 (BTS/DUT)";"7";"Développeur Full-Stack";"34215.87";"2025-01-06";"REFUSE"
"Michel";"Collet";"michel-collet@gmail.com";"+33 6 35 46 74 24";"2002-07-05";"87 Rue de la Paix";"75008";"Paris";"Bac+3 (Licence)";"24";"Ingénieur Machine Learning";"71607.75";"2026-02-25";"REFUSE"
"Lina";"Brunet";"lina-brunet@outlook.fr";"+33 6 20 87 50 78";"1992-05-06";"63 Rue Jean Moulin";"64100";"Bayonne";"Bac+8 (Doctorat)";"3";"Juriste";"37249.57";"2025-09-12";"EN_COURS"
"Émilie";"Dumont";"emiliedumont@protonmail.com";"+33 6 28 47 34 48";"1982-08-26";"37 Boulevard Gambetta";"06000";"Nice";"MBA";"0";"Chargé de Communication";"73017.51";"2025-06-19";"ENTRETIEN"
"Olivier";"Robin";"olivier.robin@outlook.fr";"+33 6 83 20 62 23";"1995-01-04";"87 Avenue de Verdun";"06600";"Antibes";"Bac+2 (BTS/DUT)";"4";"Analyste Données";"58399.02";"2025-12-06";"REFUSE"
"Marguerite";"Jacquet";"marguerite-jacquet@outlook.fr";"+33 6 60 75 67 98";"1978-01-28";"135 Rue des Écoles";"75020";"Paris";"Bac+2 (BTS/DUT)";"12";"Juriste";"75208.99";"2025-06-29";"REFUSE"
"Florence";"Rey";"florencerey@protonmail.com";"+33 6 86 80 28 15";"1990-09-23";"24 Rue de la République";"83000";"Toulon";"Bac+8 (Doctorat)";"23";"Chargé de Communication";"37804.96";"2025-10-07";"EN_COURS"
"Mathieu";"Renard";"mathieu-renard@gmail.com";"+33 6 46 39 24 90";"1988-03-05";"86 Rue Pierre Curie";"95100";"Argenteuil";"MBA";"20";"Scrum Master";"80847.42";"2025-01-31";"REFUSE"
"Sophie";"Breton";"sophie-breton@gmail.com";"+33 6 14 31 90 16";"2003-05-25";"38 Boulevard de la Marne";"44000";"Nantes";"Bac+2 (BTS/DUT)";"24";"Consultant BI";"48248.94";"2026-02-06";"ENTRETIEN"
"Hélène";"Legrand";"helene-legrand@protonmail.com";"+33 6 49 75 46 74";"1980-08-11";"59 Rue Victor Hugo";"78000";"Versailles";"CAP/BEP";"13";"Product Owner";"80526.69";"2025-01-08";"REFUSE"
"Arthur";"Richard";"arthur.richard@protonmail.com";"+33 6 37 57 94 69";"1976-08-19";"24 Avenue Victor Hugo";"76000";"Rouen";"Bac+8 (Doctorat)";"22";"Analyste Données";"38353.22";"2026-02-27";"EN_COURS"
"Étienne";"Jacquet";"etienne.jacquet@hotmail.fr";"+33 6 82 87 57 26";"2000-09-23";"69 Boulevard Voltaire";"75020";"Paris";"MBA";"0";"Architecte Cloud";"63406.52";"2025-10-31";"OFFRE"
"Martine";"Garcia";"martinegarcia@gmail.com";"+33 6 48 47 72 95";"1987-09-20";"28 Chemin du Moulin";"84000";"Avignon";"MBA";"9";"Product Owner";"72456.43";"2025-04-13";"EN_COURS"
"Sylvie";"Simon";"sylvie-simon@outlook.fr";"+33 6 74 22 87 49";"1976-07-21";"117 Avenue de Verdun";"30000";"Nîmes";"Bac+5 (Master/Ingénieur)";"25";"Analyste Données";"68073.29";"2025-07-05";"EN_COURS"
"Andrée";"Jacquet";"andreejacquet@protonmail.com";"+33 6 69 26 84 50";"1989-11-06";"90 Rue Émile Zola";"75001";"Paris";"Bac+5 (Master/Ingénieur)";"4";"Analyste Données";"31905.12";"2025-01-02";"ENTRETIEN"
"Raphaël";"Nicolas";"raphaelnicolas@gmail.com";"+33 6 82 31 32 89";"1997-06-20";"105 Boulevard Voltaire";"76600";"Le Havre";"Bac+3 (Licence)";"19";"Ingénieur Machine Learning";"37096.33";"2026-01-04";"EMBAUCHE"
"Nathan";"Guérin";"nathanguerin@yahoo.fr";"+33 6 87 85 50 68";"1997-11-02";"54 Rue Lafayette";"29200";"Brest";"Bac Pro";"23";"Architecte Cloud";"74285.44";"2026-02-28";"ENTRETIEN"
"Jacques";"Fournier";"jacquesfournier@outlook.fr";"+33 6 13 87 93 69";"1999-02-10";"97 Allée des Tilleuls";"54000";"Nancy";"Bac+8 (Doctorat)";"24";"Scrum Master";"77962.35";"2025-10-05";"ENTRETIEN"
"Joël";"Colin";"joelcolin@outlook.fr";"+33 6 51 89 13 44";"2004-05-13";"33 Avenue des Champs-Élysées";"13100";"Aix-en-Provence";"Bac Pro";"20";"Analyste Données";"84791.48";"2025-04-23";"REFUSE"
"Pierre";"Fournier";"pierrefournier@outlook.fr";"+33 6 12 23 94 35";"2003-12-08";"29 Avenue de Verdun";"06600";"Antibes";"Bac+2 (BTS/DUT)";"7";"Consultant BI";"50170.23";"2025-05-04";"EN_COURS"
"Morgane";"Roussel";"morgane-roussel@protonmail.com";"+33 6 64 63 77 61";"1984-07-29";"71 Place du Marché";"67000";"Strasbourg";"Bac Pro";"3";"Chargé de Communication";"48264.26";"2025-05-03";"EMBAUCHE"
"Antoine";"Girard";"antoinegirard@gmail.com";"+33 6 11 42 34 99";"1976-09-20";"9 Rue Pierre Curie";"63000";"Clermont-Ferrand";"Bac+5 (Master/Ingénieur)";"13";"Product Owner";"31148.99";"2026-01-24";"EN_COURS"
"Delphine";"Faure";"delphinefaure@hotmail.fr";"+33 6 43 48 27 92";"2003-04-04";"20 Rue de la Paix";"17000";"La Rochelle";"Bac+8 (Doctorat)";"14";"Développeur Full-Stack";"63077.65";"2025-11-23";"EN_COURS"
"Clara";"Fleury";"clara.fleury@gmail.com";"+33 6 31 62 90 21";"1991-01-15";"143 Avenue de la Liberté";"69001";"Lyon";"Bac+2 (BTS/DUT)";"1";"Analyste Données";"29126.26";"2025-06-06";"EN_COURS"
"Élodie";"Breton";"elodie.breton@hotmail.fr";"+33 6 78 83 81 84";"1999-06-05";"133 Rue Lafayette";"06000";"Nice";"Bac+2 (BTS/DUT)";"2";"Analyste Données";"69504.68";"2026-01-13";"OFFRE"
"Marion";"Richard";"marionrichard@yahoo.fr";"+33 6 73 92 38 51";"1983-07-03";"86 Place de la Bastille";"75020";"Paris";"Bac+2 (BTS/DUT)";"13";"Chef de Projet";"33960.86";"2025-11-05";"REFUSE"
"Denise";"Robert";"denise-robert@gmail.com";"+33 6 94 96 82 30";"2001-08-14";"49 Rue de la Gare";"21000";"Dijon";"CAP/BEP";"0";"Comptable";"79932.97";"2025-06-16";"EMBAUCHE"
"Marine";"Navarro";"marinenavarro@yahoo.fr";"+33 6 90 25 67 88";"1982-02-14";"146 Avenue des Champs-Élysées";"17000";"La Rochelle";"Bac+3 (Licence)";"21";"Comptable";"41355.64";"2025-01-17";"REFUSE"
"Arnaud";"Dumont";"arnaud.dumont@protonmail.com";"+33 6 37 99 10 98";"2001-09-28";"23 Avenue de la Liberté";"31000";"Toulouse";"Bac+2 (BTS/DUT)";"19";"Product Owner";"68152.26";"2025-05-26";"OFFRE"
"Anne";"Aubert";"anne.aubert@gmail.com";"+33 6 42 24 17 33";"1979-06-29";"112 Rue du Faubourg Saint-Honoré";"75008";"Paris";"Bac+8 (Doctorat)";"18";"Data Engineer";"75229.5";"2025-10-06";"REFUSE"
"Inès";"Nguyen";"ines.nguyen@gmail.com";"+33 6 63 73 13 69";"1988-06-15";"97 Rue Pasteur";"14000";"Caen";"Bac+2 (BTS/DUT)";"5";"Architecte Cloud";"68310.13";"2025-11-15";"EN_COURS"
"Benoît";"Michel";"benoit-michel@hotmail.fr";"+33 6 41 30 60 78";"1976-11-15";"127 Rue des Écoles";"38000";"Grenoble";"MBA";"2";"Développeur Full-Stack";"72792.62";"2026-01-12";"EN_COURS"
"Anne";"Boyer";"anne-boyer@protonmail.com";"+33 6 39 19 74 55";"1989-07-23";"82 Rue du Commerce";"31000";"Toulouse";"Bac+8 (Doctorat)";"12";"Juriste";"55621.04";"2025-08-13";"OFFRE"
"Raphaël";"Pichon";"raphael.pichon@yahoo.fr";"+33 6 20 64 95 58";"1979-06-25";"23 Rue Pierre Curie";"13008";"Marseille";"Bac+5 (Master/Ingénieur)";"6";"Analyste Données";"29184.81";"2025-11-23";"EMBAUCHE"
"Florence";"Hamon";"florence.hamon@yahoo.fr";"+33 6 64 87 89 62";"1976-07-16";"111 Avenue Foch";"14000";"Caen";"Bac+8 (Doctorat)";"13";"Scrum Master";"52352.15";"2026-02-07";"OFFRE"
"Jacques";"Schmitt";"jacques.schmitt@protonmail.com";"+33 6 74 25 61 11";"1994-06-29";"63 Rue Pasteur";"69003";"Lyon";"Bac Pro";"22";"Comptable";"52169.97";"2025-12-10";"EN_COURS"
"Nathalie";"Lambert";"nathalie.lambert@protonmail.com";"+33 6 49 22 10 40";"2003-01-27";"19 Rue Nationale";"69001";"Lyon";"Bac+5 (Master/Ingénieur)";"15";"Commercial";"64346.34";"2025-09-04";"EN_COURS"
"Pierre";"Maréchal";"pierremarechal@hotmail.fr";"+33 6 49 88 12 74";"1998-02-09";"65 Rue Nationale";"64000";"Pau";"Bac+8 (Doctorat)";"0";"Comptable";"75790.85";"2025-11-14";"EN_COURS"
"Thierry";"Thomas";"thierry.thomas@gmail.com";"+33 6 15 29 26 35";"1980-08-25";"64 Impasse des Lilas";"64100";"Bayonne";"Bac+5 (Master/Ingénieur)";"8";"Développeur Full-Stack";"42055.58";"2025-08-19";"EN_COURS"
"Yannick";"Rousseau";"yannick-rousseau@yahoo.fr";"+33 6 30 90 69 80";"2002-12-05";"29 Rue de la Gare";"31000";"Toulouse";"Bac+8 (Doctorat)";"20";"Juriste";"75020.13";"2025-11-24";"REFUSE"
"Laura";"Fontaine";"laura-fontaine@gmail.com";"+33 6 94 46 82 58";"2004-01-24";"99 Rue du Commerce";"86000";"Poitiers";"Bac+2 (BTS/DUT)";"14";"Juriste";"84506.32";"2025-07-29";"EN_COURS"
"Christophe";"Blanc";"christophe-blanc@outlook.fr";"+33 6 61 92 81 38";"1994-06-13";"84 Rue Lafayette";"25000";"Besançon";"Bac Pro";"14";"Architecte Cloud";"34110.65";"2025-06-18";"REFUSE"
"André";"Perrin";"andre.perrin@protonmail.com";"+33 6 28 64 92 84";"1985-01-31";"61 Boulevard Voltaire";"93100";"Montreuil";"Bac+2 (BTS/DUT)";"13";"Responsable RH";"41214.02";"2026-01-15";"EMBAUCHE"
"Christian";"Perrot";"christianperrot@protonmail.com";"+33 6 29 21 15 88";"1991-02-15";"46 Rue Pasteur";"95100";"Argenteuil";"Bac Pro";"7";"Responsable RH";"68842.65";"2025-04-30";"EN_COURS"
"Béatrice";"Berger";"beatriceberger@hotmail.fr";"+33 6 39 43 50 24";"2002-11-01";"20 Chemin du Moulin";"29200";"Brest";"Bac+2 (BTS/DUT)";"12";"Architecte Cloud";"33219.35";"2025-12-01";"EN_COURS"
"Julien";"Girard";"julien.girard@hotmail.fr";"+33 6 88 35 58 53";"1983-04-21";"59 Rue Émile Zola";"76000";"Rouen";"Bac+5 (Master/Ingénieur)";"23";"Responsable RH";"63072.85";"2025-11-11";"ENTRETIEN"
"Gabriel";"Fournier";"gabrielfournier@gmail.com";"+33 6 48 79 79 28";"1992-01-05";"98 Rue Émile Zola";"06000";"Nice";"CAP/BEP";"14";"Comptable";"62278.45";"2026-01-13";"EN_COURS"
